,ROC-AUC,PR-AUC,Accuracy
0,0.8602783648846997,0.6717467192321541,0.6276666666666667
1,0.8591966384495074,0.6718989566725765,0.63
2,0.8618654632890753,0.6750110899882551,0.6356666666666667
3,0.8621646521853428,0.6777378138999148,0.6356666666666667
4,0.8602865757605681,0.674799406821035,0.631
5,0.861889712413241,0.6737557643439605,0.632
6,0.8602003614929232,0.6743086096351458,0.6286666666666667
7,0.8593674993170406,0.6709757161244891,0.6333333333333333
8,0.8610313802350805,0.6745713740269441,0.6303333333333333
9,0.8608054445980524,0.6754098553148158,0.6313333333333333
