,ROC-AUC,PR-AUC,Accuracy
0,0.860036231000384,0.6767063543856081,0.633
1,0.85803215474344,0.6700797552375426,0.63
2,0.8602845536222962,0.6764129419293857,0.631
3,0.8575277741540175,0.6710499023706593,0.63
4,0.8585346959494076,0.6717025523422998,0.6276666666666667
5,0.8602736230537333,0.6744659931239567,0.6333333333333333
6,0.8592559372332471,0.6734025409636855,0.6416666666666667
7,0.8588684910248585,0.6738415287151168,0.6333333333333333
8,0.8588547249925785,0.6760738349846498,0.6276666666666667
9,0.8604359549630981,0.6760892229467836,0.633
