,ROC-AUC,PR-AUC,Accuracy
0,0.8196280912828386,0.6116533113689706,0.5733333333333334
1,0.8153542084863938,0.6015016255418871,0.5736666666666667
2,0.8182341478108259,0.6041581975287376,0.5676666666666667
3,0.8192658522678814,0.609938431175875,0.5716666666666667
4,0.815347692441461,0.6014753376788197,0.5736666666666667
5,0.8199631546144059,0.6093639121027312,0.5683333333333334
6,0.8175036875563757,0.6066001630564903,0.579
7,0.8181486875067542,0.6053957177912478,0.5773333333333334
8,0.8184166006252412,0.6066491455094097,0.5703333333333334
9,0.8184098170079033,0.6051694437865132,0.5756666666666667
