,ROC-AUC,PR-AUC,Accuracy
0,0.685881157948197,0.7493449019269369,0.6478555304740407
1,0.6797655324191638,0.7636629861406496,0.6252821670428894
2,0.6876163873370578,0.7703079595300557,0.636568848758465
3,0.6845691552395463,0.7586070850609754,0.6320541760722348
4,0.6858388352801761,0.7680095334770196,0.6410835214446953
5,0.6643389199255121,0.7502317118873454,0.636568848758465
6,0.6802099204333841,0.7628591508200208,0.6455981941309256
7,0.6745175215845607,0.7587800146917627,0.6343115124153499
8,0.6705180294565769,0.7441232269071079,0.6343115124153499
9,0.6792153377348908,0.7489634800113427,0.6636568848758465
