,ROC-AUC,PR-AUC,Accuracy
0,0.6879338073472151,0.7825647992104331,0.6230248306997742
1,0.7347850008464533,0.8065744687911443,0.6817155756207675
2,0.728754020653462,0.8136000313968719,0.6704288939051919
3,0.7074445573048924,0.8039646203182502,0.6659142212189616
4,0.7119307601151177,0.8003220298804415,0.672686230248307
5,0.7165862535974268,0.8052959708351899,0.6659142212189616
6,0.712121212121212,0.7954422991566985,0.6591422121896162
7,0.731526155408837,0.805338113526326,0.6636568848758465
8,0.712756052141527,0.8034647923874053,0.6568848758465011
9,0.7072752666328086,0.7897916768435028,0.6613995485327314
