,ROC-AUC,PR-AUC,Accuracy
0,0.8135223585848733,0.5957037178048825,0.5526666666666666
1,0.8127405285573048,0.5939120599199936,0.555
2,0.8126771527509011,0.5938961377551332,0.5596666666666666
3,0.8112609697044355,0.5929184639161762,0.5636666666666666
4,0.8143012779159747,0.5957820069828071,0.5666666666666667
5,0.8115830204268034,0.5923466495182107,0.5546666666666666
6,0.8142768452313884,0.5980247895688016,0.5576666666666666
7,0.8151130355027558,0.597911192440424,0.564
8,0.8148165665709639,0.6006951721858274,0.56
9,0.8105882860025783,0.5936464945520188,0.5566666666666666
