,ROC-AUC,PR-AUC,Accuracy
0,0.8153673607584222,0.8733264479500376,0.7291196388261851
1,0.8122778059928899,0.8743610487113538,0.7313769751693002
2,0.8116429659725749,0.8757156282379628,0.7223476297968398
3,0.8115159979685119,0.8697257504191962,0.7471783295711061
4,0.8182241408498392,0.8707271599774021,0.7404063205417607
5,0.8205942102590147,0.8771182862278242,0.7539503386004515
6,0.8033900457084815,0.8607074526371616,0.7268623024830699
7,0.8172507194853564,0.8750972875865813,0.7358916478555305
8,0.7999619095987811,0.8655475471148633,0.708803611738149
9,0.8036228203825968,0.8691645996354919,0.7065462753950339
